Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Shin-Soo Choo,CLE,OF,38,144,550,81,165,31,2,22,90,22,7,83,118,0,2,11,0.3,0.401,0.484,0.885
Paul Konerko,CWS,1B,44,149,548,89,171,30,1,39,111,0,1,72,110,0,6,5,0.312,0.393,0.584,0.977
Miguel Cabrera,DET,1B,37,150,548,111,180,45,1,38,126,3,3,89,95,0,8,3,0.328,0.42,0.622,1.042
Joey Votto,CIN,1B,37,150,547,106,177,36,2,37,113,16,5,91,125,0,3,7,0.324,0.424,0.6,1.024
Hanley Ramirez,FLA,DH,36,142,543,92,163,28,2,21,76,32,10,64,93,0,5,7,0.3,0.378,0.475,0.853
Ben Zobrist,TB,2B,39,151,541,77,129,28,2,10,75,24,3,92,107,7,12,3,0.238,0.346,0.353,0.699
Johnny Damon,DET,OF,47,145,539,81,146,36,5,8,51,11,1,69,90,2,1,2,0.271,0.355,0.401,0.756
B.J. Upton,TB,OF,36,154,536,89,127,38,4,18,62,42,9,67,164,1,4,2,0.237,0.322,0.424,0.746
Michael Bourn,HOU,OF,37,141,535,84,142,25,6,2,38,52,12,59,109,6,2,3,0.265,0.341,0.346,0.687
Erick Aybar,LAA,SS,36,138,534,69,135,18,4,5,29,22,8,35,81,11,2,7,0.253,0.306,0.33,0.636
Lyle Overbay,TOR,1B,43,154,534,75,130,37,2,20,67,1,0,67,131,0,3,3,0.243,0.329,0.433,0.762
Aaron Hill,TOR,2B,38,138,528,70,108,22,0,26,68,2,2,41,85,1,2,8,0.205,0.271,0.394,0.665
Rajai Davis,OAK,OF,40,143,525,66,149,28,3,5,52,50,11,26,78,1,5,4,0.284,0.32,0.377,0.697
Ian Desmond,WAS,OF,35,154,525,59,141,27,4,10,65,17,5,28,109,9,7,5,0.269,0.308,0.392,0.7
Ryan Zimmerman,WAS,1B,36,142,525,85,161,32,0,25,85,4,1,69,98,0,5,4,0.307,0.388,0.51,0.898
Ike Davis,NYM,1B,33,147,523,73,138,33,1,19,71,3,2,72,138,0,5,1,0.264,0.351,0.44,0.791
Alex Rodriguez,NYY,DH,45,137,522,74,141,29,2,30,125,4,3,59,98,0,11,3,0.27,0.341,0.506,0.847
Juan Uribe,SF,3B,41,148,521,64,129,24,2,24,85,1,2,45,92,0,5,4,0.248,0.31,0.44,0.75
Jason Heyward,ATL,OF,31,142,520,83,144,29,5,18,72,11,6,91,128,0,2,10,0.277,0.393,0.456,0.849
Jason Kubel,MIN,OF,38,143,518,68,129,23,3,21,92,0,1,56,116,0,5,3,0.249,0.323,0.427,0.75
David Ortiz,BOS,DH,44,145,518,86,140,36,1,32,102,0,1,82,145,0,4,2,0.27,0.37,0.529,0.899
Josh Hamilton,TEX,OF,39,133,518,95,186,40,3,32,100,8,1,43,95,1,4,5,0.359,0.411,0.633,1.044
Andre Ethier,LAD,OF,38,139,517,71,151,33,1,23,82,2,1,59,102,0,6,3,0.292,0.364,0.493,0.857
Jeff Keppinger,HOU,3B,40,137,514,62,148,34,1,6,59,4,1,51,36,5,4,1,0.288,0.351,0.393,0.744
Drew Stubbs,CIN,OF,36,150,514,91,131,19,6,22,77,30,6,55,168,3,6,5,0.255,0.329,0.444,0.773
Brandon Inge,DET,3B,43,144,514,47,127,28,5,13,70,4,3,54,134,0,7,5,0.247,0.321,0.397,0.718
Jonny Gomes,CIN,OF,39,148,511,77,136,24,3,18,86,5,3,39,123,0,9,12,0.266,0.327,0.431,0.758
Joe Mauer,MIN,1B,37,137,510,88,167,43,1,9,75,1,4,65,53,0,6,3,0.327,0.402,0.469,0.871
Casey Blake,LAD,3B,47,146,509,56,126,28,1,17,64,0,4,48,138,3,3,8,0.248,0.32,0.407,0.727
